space,case_index,canonical_key,step,credit_cross_entropy
level1_no_side_info,34,"[[0,0,1,1],[0,1,1,0],[1,1,1,0]]",4,0.12413388205086084
level1_no_side_info,34,"[[0,0,1,1],[0,1,1,0],[1,1,1,0]]",8,0.15831484826451048
level1_no_side_info,34,"[[0,0,1,1],[0,1,1,0],[1,1,1,0]]",16,0.18395072533629997
level1_no_side_info,34,"[[0,0,1,1],[0,1,1,0],[1,1,1,0]]",32,0.19944959606350665
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",0,0.0
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",1,0.054707760681101614
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",2,0.08724306990352437
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",4,0.12413388205086084
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",8,0.15831484826451048
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",16,0.18395072533629997
level1_no_side_info,35,"[[0,0,1,1],[0,1,1,0],[1,1,0,1]]",32,0.19944959606350665
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",0,0.0
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",1,0.21907019637983866
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",2,0.34544943238999826
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",4,0.474279980271518
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",8,0.5715124137779335
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",16,0.6301021501664625
level1_no_side_info,36,"[[0,0,1,1],[0,1,1,0],[1,1,0,0]]",32,0.6614036248289012
level1_no_side_info,37,"[[0,0,1,1],[0,1,1,0],[1,0,1,1]]",0,0.0
level1_no_side_info,37,"[[0,0,1,1],[0,1,1,0],[1,0,1,1]]",1,0.054707760681101614
level1_no_side_info,37,"[[0,0,1,1],[0,1,1,0],[1,0,1,1]]",2,0.08724306990352437
level1_no_side_info,37,"[[0,0,1,1],[0,1,1,0],[1,0,1,1]]",4,0.12413388205086084
level1_no_side_info,37,"[[0,0,1,1],[0,1,1,0],[1,0,1,1]]",8,0.15831484826451048
